X,Y,OBJECTID,FACILITYID,INTID,LATITUDE,LONGITUDE,COUNTDATE,ADT,STREETONE,DIRECTION,STREETTWO,TRAVELDIRE,NEARINTERS,CITY,ADTONE,ADTTWO,CREATIONDATE,LASTUPDATE,NOTES
6144791.724621,1972864.98142456,5709,3313,3313,37.40426247,-121.9352669,2015/03/19 00:00:00+00,5733,River Oaks Pkwy,W of,Zanker Rd, ,River Oaks Pkwy & Zanker Rd,San Jose,,,,2021/03/18 17:08:34+00, 
6147310.86426775,1972602.98457323,5710,3314,3314,37.40365311,-121.92658855,2015/03/19 00:00:00+00,7373,River Oaks Py,W of,Research Pl, ,River Oaks Py & Research Pl,San Jose,,,,2021/03/18 17:08:34+00, 
6176109.31290433,1956197.75622889,5711,3315,3315,37.35977129,-121.8266468,2015/01/15 00:00:00+00,2650,Lyndale Av,S of,Wilbur Av, ,Lyndale Av & Wilbur Av,San Jose,,,,2021/03/18 17:08:34+00, 
6175099.10757567,1956653.20774581,5712,3316,3316,37.36097206,-121.83014353,2015/01/14 00:00:00+00,4422,Florence Av,W of,Nancy Ln, ,Florence Av & Nancy Ln,San Jose,,,,2021/03/18 17:08:34+00, 
6175819.81774841,1957065.46643573,5713,3317,3317,37.36213353,-121.82768485,2015/01/15 00:00:00+00,5785,Florence Av,E of,Lyndale Av, ,Florence Av & Lyndale Av,San Jose,,,,2021/03/18 17:08:34+00, 
6176683.11490633,1940507.31713739,5714,3318,3318,37.31669415,-121.82390568,2015/01/15 00:00:00+00,2754,Bowling Green Dr,E of,Alvin Av, ,Bowling Green Dr & Alvin Av,San Jose,,,,2021/03/18 17:08:34+00, 
6176598.06848849,1940595.66669823,5715,3319,3319,37.31694318,-121.82419911,2015/01/15 00:00:00+00,5514,Alvin Av,N of,Bowling Green Dr, ,Alvin Av & Bowling Green Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6176620.02874641,1940350.98542906,5716,3320,3320,37.31627141,-121.82411096,2015/01/15 00:00:00+00,4473,Alvin Av,S of,Bowling Green Dr, ,Alvin Av & Bowling Green Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6175312.927358,1941895.51055522,5717,3321,3321,37.32045309,-121.82868459,2015/03/17 00:00:00+00,56344,Tully Rd,E of,Alvin Av, ,Tully Rd & Alvin Av,San Jose,,,,2021/03/18 17:08:34+00, 
6155618.48479158,1924588.85980114,5718,3322,3322,37.27214924,-121.89551544,2015/01/21 00:00:00+00,2956,Jarvis Av,N of,Blackstone Av, ,Jarvis Av & Blackstone Av,San Jose,,,,2021/03/18 17:08:34+00, 
6118439.6651205,1937344.21257123,5719,3323,3323,37.30558207,-122.02398131,2015/01/22 00:00:00+00,4654,Blaney Av,N of,Michele Wy, ,Blaney Av & Michele Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6148556.68756349,1942003.83022048,5720,3324,3324,37.31967416,-121.92070031,2015/01/21 00:00:00+00,6960,Scott St,W of,Mayellen Av, ,Scott St & Mayellen Av,San Jose,,,,2021/03/18 17:08:34+00, 
6172050.83447275,1939252.81866215,5721,3325,3325,37.31306797,-121.83977165,2015/03/17 00:00:00+00,48908,Tully Rd,E of,Lucretia Av, ,Tully Rd & Lucretia Av,San Jose,,,,2021/03/18 17:08:34+00, 
6188529.20571542,1936423.20128989,5722,3326,3326,37.30594282,-121.78298301,2015/03/11 00:00:00+00,2601,Yerba Buena Av,N of,Evergreen Wy, ,Yerba Buena Av & Evergreen Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6151220.04214491,1944733.83952422,5723,3327,3327,37.32728754,-121.91167141,2015/03/12 00:00:00+00,14446,Race St,N of,Eugene Av, ,Race St & Eugene Av,San Jose,,,,2021/03/18 17:08:34+00, 
6191483.887142,1936667.9488319,5724,3328,3328,37.30671584,-121.77284171,2015/03/15 00:00:00+00,7224,Delta Rd,W of,Oldfiled Wy, ,Delta Rd & Oldfiled Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6129496.0130865,1929096.33438198,5725,3329,3329,37.28341535,-121.98553465,2015/03/12 00:00:00+00,6124,Bucknall Rd,E of,Maroel Dr, ,Bucknall Rd & Maroel Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6193053.73111516,1936899.02251673,5726,3330,3330,37.30740955,-121.76745609,2015/03/13 00:00:00+00,3457,Delta Rd,W of,Pinot Blanc Wy, ,Delta Rd & Pinot Blanc Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6179525.32411692,1915392.47301023,5727,3331,3331,37.24783481,-121.81292792,2015/03/18 00:00:00+00,1950,Bangor Av,E of,Bieber Dr, ,Bangor Av & Bieber Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6147145.89281291,1972030.93978556,5728,3332,3332,37.40207767,-121.92712658,2015/03/13 00:00:00+00,1734,Innovation Dr,W of,Research Pl, ,Innovation Dr & Research Pl,San Jose,,,,2021/03/18 17:08:34+00, 
6153228.19495274,1937303.40326965,5729,3333,3333,37.3069565,-121.90438906,2015/04/23 00:00:00+00,8395,Willow St,W of, , ,Willow St &,San Jose,,,,2021/03/18 17:08:34+00, 
6154957.34635007,1935597.48148465,5730,3334,3334,37.30235439,-121.89835571,2015/02/05 00:00:00+00,,Iris Ct,S of,Minnesota Av, ,Iris Ct & Minnesota Av,San Jose,,,,2021/03/18 17:08:34+00, 
6154352.52767783,1936230.04124315,5731,3335,3335,37.30405512,-121.90046808,2016/02/11 00:00:00+00,1489,Brace Av,E of,Coolidge Av, ,Brace Av & Coolidge Av,San Jose,,,,2021/03/18 17:08:34+00, 
6167568.33261099,1964732.22439614,5732,3336,3336,37.38287308,-121.85645635,2011/05/11 00:00:00+00,21679,Capitol Av,S of,Penitencia Creek Rd, ,Capitol Av & Penitencia Creek Rd,San Jose,,,,2021/03/18 17:08:34+00, 
6176719.84219508,1951662.52743848,5733,3337,3337,37.34734131,-121.82432312,2014/10/30 00:00:00+00,2600,Capitol Av,N of,Bristol Dr, ,Capitol Av & Bristol Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6145140.29085299,1911644.60255323,5734,3338,3338,37.23615938,-121.9308509,2014/10/30 00:00:00+00,17883,Blossom Hill Rd,E of,Union Av, ,Blossom Hill Rd & Union Av,San Jose,,,,2021/03/18 17:08:34+00, 
6151029.85945441,1911611.76403622,5735,3339,3339,37.23631541,-121.91062109,2014/10/30 00:00:00+00,19492,Blossom Hill Rd,E of,Begonia Dr, ,Blossom Hill Rd & Begonia Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6163776.69157225,1938486.02721673,5736,3340,3340,37.3106447,-121.86818456,2014/10/30 00:00:00+00,32354,Monterey Rd,S of,Barnard Av, ,Monterey Rd & Barnard Av,San Jose,,,,2021/03/18 17:08:34+00, 
6158128.48075584,1931057.1529669,5737,3341,3341,37.29000416,-121.88722531,2011/03/11 00:00:00+00,18297,Curtner Av,E of,Lincoln Av, ,Curtner Av & Lincoln Av,San Jose,,,,2021/03/18 17:08:34+00, 
6149052.81321166,1926596.30526131,5738,3342,3342,37.27738014,-121.91818595,2011/04/26 00:00:00+00,13614,Curtner Av,E of,Westpark Dr, ,Curtner Av & Westpark Dr,San Jose,,,,2021/03/18 17:08:34+00, 
6154048.58865316,1929310.62037073,5739,3343,3343,37.28504094,-121.90115844,2011/03/07 00:00:00+00,16220,Curtner Av,E of,Parkwood Wy, ,Curtner Av & Parkwood Wy,San Jose,,,,2021/03/18 17:08:34+00, 
6146331.62574066,1925440.56643106,5740,3344,3344,37.27409267,-121.92747668,2011/04/26 00:00:00+00,12781,Curtner Av,W of,New Jersey Av, ,Curtner Av & New Jersey Av,San Jose,,,,2021/03/18 17:08:34+00, 
6165905.34643567,1935990.36685373,5741,3345,3345,37.30386504,-121.8607405,2012/06/28 00:00:00+00,26361,Tully Rd,E of,Monterey Rd, ,Tully Rd & Monterey Rd,San Jose,,,,2021/03/18 17:08:34+00, 
6160072.95193249,1951684.25508532,5742,3346,3346,37.34674007,-121.88158628,2011/04/28 00:00:00+00,6627,13th St,N of,Julian St, ,13th St & Julian St,San Jose,,,,2021/03/18 17:08:34+00, 
6158247.81188199,1954857.21593098,5743,3347,3347,37.35537939,-121.88802623,2011/04/28 00:00:00+00,14053,13th St,N of,Taylor St, ,13th St & Taylor St,San Jose,,,,2021/03/18 17:08:34+00, 
6172086.96136899,1939281.08402556,5744,3348,3348,37.31314705,-121.83964861,2012/06/28 00:00:00+00,42118,Tully Rd,E of,Lucretia Av, ,Tully Rd & Lucretia Av,San Jose,,,,2021/03/18 17:08:34+00, 
