OBJECTID,FACILITYID,INTID,CENSUSTRACT,FIPSCODE,POPULATION2020,HOUSINGUNITS2020,LASTUPDATE,NOTES,Shape_Length,Shape_Area
44,44,44,5029.03,06085502903,5333,1958,2022/03/16 00:00:00+00,,19907.6789829014,20265076.3294811
45,45,45,5029.06,06085502906,4848,1720,2022/03/16 00:00:00+00,,16489.4003840373,16621523.606402
46,46,46,5029.07,06085502907,3857,1331,2022/03/16 00:00:00+00,,15084.9758219294,13470597.5712133
47,47,47,5029.08,06085502908,6951,2410,2022/03/16 00:00:00+00,,19222.4409981472,22381750.1962667
48,48,48,5029.09,06085502909,5324,2060,2022/03/16 00:00:00+00,,18002.2906728199,13893019.1996217
49,49,49,5029.10,06085502910,3908,1505,2022/03/16 00:00:00+00,,18363.5029114627,12773638.3005143
50,50,50,5030.01,06085503001,4430,1647,2022/03/16 00:00:00+00,,19700.2065718054,18596777.8835315
51,51,51,5030.02,06085503002,3611,1286,2022/03/16 00:00:00+00,,16427.8418709612,14572695.5158472
52,52,52,5030.03,06085503003,5218,1806,2022/03/16 00:00:00+00,,19401.7876390726,20867763.2770103
53,53,53,5031.23,06085503123,3889,1720,2022/03/16 00:00:00+00,,12376.2796916264,7416415.7767417
54,54,54,5031.25,06085503125,3680,1389,2022/03/16 00:00:00+00,,12042.9803568872,7992544.38495469
55,55,55,5064.02,06085506402,5719,2314,2022/03/16 00:00:00+00,,19191.7984931137,9356423.65440733
56,56,56,5068.02,06085506802,5533,1958,2022/03/16 00:00:00+00,,23779.4117829929,20179583.2384496
57,57,57,5068.03,06085506803,7357,2459,2022/03/16 00:00:00+00,,19975.0403760115,24646788.6128883
58,58,58,5068.04,06085506804,3936,1384,2022/03/16 00:00:00+00,,20559.1704709237,6468609.97495644
59,59,59,5069,06085506900,8031,2862,2022/03/16 00:00:00+00,,16309.5849098532,8088579.47045565
60,60,60,5119.13,06085511913,4336,1447,2022/03/16 00:00:00+00,,20210.5055670073,20706398.6259287
61,61,61,5119.14,06085511914,5664,1978,2022/03/16 00:00:00+00,,25371.7334337831,29886305.6755298
62,62,62,5119.15,06085511915,3562,1279,2022/03/16 00:00:00+00,,15773.9095384845,12120491.4488967
63,63,63,5119.16,06085511916,4836,1683,2022/03/16 00:00:00+00,,19300.0740696499,19790274.6418261
64,64,64,5059.01,06085505901,124,46,2022/03/16 00:00:00+00,,5964.28478836867,442532.169864373
65,65,65,5059.02,06085505902,358,196,2022/03/16 00:00:00+00,,6672.4714056871,1075039.39072491
66,66,66,5062.03,06085506203,7138,2823,2022/03/16 00:00:00+00,,17183.4745313838,11872205.3661528
67,67,67,5062.04,06085506204,6423,2178,2022/03/16 00:00:00+00,,19379.9264746514,19331572.180147
68,68,68,5063.01,06085506301,5631,2479,2022/03/16 00:00:00+00,,18092.5158636124,16128818.9424866
69,69,69,5063.02,06085506302,6210,2826,2022/03/16 00:00:00+00,,19337.7022944229,21680338.4173383
70,70,70,5063.04,06085506304,5412,2285,2022/03/16 00:00:00+00,,13593.0200252177,11613644.9297124
71,71,71,5080.04,06085508004,6561,2200,2022/03/16 00:00:00+00,,21972.054768824,2838288.4185812
72,72,72,5001,06085500100,7969,3043,2022/03/16 00:00:00+00,,19857.6304311338,20687426.0948101
73,73,73,5002,06085500200,5281,2240,2022/03/16 00:00:00+00,,20564.4414898434,18085272.6273218
74,74,74,5003,06085500300,4765,1699,2022/03/16 00:00:00+00,,31587.1593600636,31033139.8549072
75,75,75,5004,06085500400,2476,1059,2022/03/16 00:00:00+00,,13386.0510500808,10820675.4636186
76,76,76,5005,06085500500,5506,2176,2022/03/16 00:00:00+00,,22434.0240446789,22929354.7512642
77,77,77,5006,06085500600,5548,2686,2022/03/16 00:00:00+00,,17537.4152185733,14418343.0206693
78,78,78,5008,06085500800,4669,2974,2022/03/16 00:00:00+00,,23979.0199184865,18552122.7218471
79,79,79,5009.01,06085500901,4011,2249,2022/03/16 00:00:00+00,,12890.2175463762,7758008.47376903
80,80,80,5009.02,06085500902,4957,721,2022/03/16 00:00:00+00,,6770.95100985856,2610255.83331893
81,81,81,5010,06085501000,5468,2697,2022/03/16 00:00:00+00,,11866.1692321052,8639034.86180468
82,82,82,5011.01,06085501101,4305,2054,2022/03/16 00:00:00+00,,12330.1520617971,7069988.51530914
83,83,83,5011.02,06085501102,4437,1402,2022/03/16 00:00:00+00,,15188.5281103253,13186082.8069269
84,84,84,5012,06085501200,4129,1425,2022/03/16 00:00:00+00,,12420.9774058471,8946602.1987508
85,85,85,5013,06085501300,3786,1263,2022/03/16 00:00:00+00,,11507.8628785972,8040946.21467636
86,86,86,5016.01,06085501601,3728,1441,2022/03/16 00:00:00+00,,17131.5610624974,8414873.57246851
87,87,87,5016.02,06085501602,3441,1584,2022/03/16 00:00:00+00,,9759.68268796193,4695292.66028711
88,88,88,5017,06085501700,5155,1673,2022/03/16 00:00:00+00,,15548.2619789197,12008227.1805838
89,89,89,5018,06085501800,4852,1732,2022/03/16 00:00:00+00,,15760.7417647307,15376637.3002604
90,90,90,5019.01,06085501901,2918,1682,2022/03/16 00:00:00+00,,11212.223875873,6433770.8573162
91,91,91,5019.02,06085501902,4176,2022,2022/03/16 00:00:00+00,,13733.8481866441,11458341.0292819
92,92,92,5020.01,06085502001,5010,2126,2022/03/16 00:00:00+00,,17723.3715714615,14354507.7634692
93,93,93,5020.02,06085502002,5166,1878,2022/03/16 00:00:00+00,,15834.0984137066,9686867.19769674
94,94,94,5021.03,06085502103,4449,1705,2022/03/16 00:00:00+00,,15018.1791148971,11083759.6720694
95,95,95,5022.03,06085502203,4118,1968,2022/03/16 00:00:00+00,,12115.479266922,6930117.97670215
96,96,96,5023.02,06085502302,2995,1305,2022/03/16 00:00:00+00,,11516.6708025162,7256367.54228315
97,97,97,5031.13,06085503113,4604,1371,2022/03/16 00:00:00+00,,11431.2017431407,7839132.33233553
98,98,98,5043.11,06085504311,8308,3280,2022/03/16 00:00:00+00,,20627.6696961616,23425425.6930017
99,99,99,5043.17,06085504317,4312,1238,2022/03/16 00:00:00+00,,16988.8644431699,12818619.4696275
100,100,100,5043.18,06085504318,7427,2225,2022/03/16 00:00:00+00,,43237.6649306588,46973606.1758392
101,101,101,5043.22,06085504322,5505,2156,2022/03/16 00:00:00+00,,23318.7288126288,34424470.2764411
102,102,102,5043.23,06085504323,5738,1832,2022/03/16 00:00:00+00,,19066.2867751732,13831697.2551162
103,103,103,5050.06,06085505006,11912,5929,2022/03/16 00:00:00+00,,56343.3512820006,120424971.151236
104,104,104,5051,06085505100,4616,2247,2022/03/16 00:00:00+00,,45084.1378252344,71704768.3566518
105,105,105,5052.03,06085505203,5673,1573,2022/03/16 00:00:00+00,,12372.8288513127,6392701.99315831
106,106,106,5057,06085505700,16,8,2022/03/16 00:00:00+00,,3756.36806367981,173563.655150302
107,107,107,5058,06085505800,4027,1656,2022/03/16 00:00:00+00,,22366.3965557948,17070169.5045719
108,108,108,5064.01,06085506401,5096,2397,2022/03/16 00:00:00+00,,15693.8626716737,14457765.5872188
109,109,109,5044.10,06085504410,4282,1259,2022/03/16 00:00:00+00,,15649.1247074941,11807661.3702617
110,110,110,5045.05,06085504505,44,12,2022/03/16 00:00:00+00,,7910.57178823767,204245.683504995
111,111,111,5046.02,06085504602,2056,616,2022/03/16 00:00:00+00,,105376.143760325,497955897.223693
112,112,112,5050.12,06085505012,2861,1594,2022/03/16 00:00:00+00,,19989.1490752475,11378132.2963815
113,113,113,5050.13,06085505013,5705,2757,2022/03/16 00:00:00+00,,10392.5828228609,6534699.55879971
114,114,114,5050.14,06085505014,6446,2699,2022/03/16 00:00:00+00,,17383.9003962785,12134429.0672956
115,115,115,5050.15,06085505015,4580,1793,2022/03/16 00:00:00+00,,28569.1244376922,23972820.8177961
116,116,116,5031.16,06085503116,5785,2238,2022/03/16 00:00:00+00,,15675.9673303305,12286267.7429578
117,117,117,5031.21,06085503121,4767,1614,2022/03/16 00:00:00+00,,20590.3943248489,23097543.0074279
118,118,118,5031.24,06085503124,4723,1688,2022/03/16 00:00:00+00,,24793.8490281559,16925862.9793455
119,119,119,5031.26,06085503126,3943,1428,2022/03/16 00:00:00+00,,21080.8801179387,16630587.9146124
120,120,120,5031.27,06085503127,5065,2183,2022/03/16 00:00:00+00,,27713.3057578232,31500444.9397258
121,121,121,5032.07,06085503207,4115,1030,2022/03/16 00:00:00+00,,19232.5264443342,13884295.9934686
